2020-08-31 18:46:29 install gcc:amd64 <none> 4:8.3.0-1
2020-08-31 18:46:29 status half-installed gcc:amd64 4:8.3.0-1
2020-08-31 18:46:29 status unpacked gcc:amd64 4:8.3.0-1
2020-08-31 18:46:29 install libkeyutils1:amd64 <none> 1.6-6
2020-08-31 18:46:29 status half-installed libkeyutils1:amd64 1.6-6
2020-08-31 18:46:29 status unpacked libkeyutils1:amd64 1.6-6
2020-08-31 18:46:29 install libkrb5support0:amd64 <none> 1.17-3
2020-08-31 18:46:29 status half-installed libkrb5support0:amd64 1.17-3
2020-08-31 18:46:29 status unpacked libkrb5support0:amd64 1.17-3
2020-08-31 18:46:29 install libk5crypto3:amd64 <none> 1.17-3
2020-08-31 18:46:29 status half-installed libk5crypto3:amd64 1.17-3
2020-08-31 18:46:29 status unpacked libk5crypto3:amd64 1.17-3
2020-08-31 18:46:29 install libkrb5-3:amd64 <none> 1.17-3
2020-08-31 18:46:29 status half-installed libkrb5-3:amd64 1.17-3
2020-08-31 18:46:29 status unpacked libkrb5-3:amd64 1.17-3
2020-08-31 18:46:29 install libgssapi-krb5-2:amd64 <none> 1.17-3
2020-08-31 18:46:29 status half-installed libgssapi-krb5-2:amd64 1.17-3
2020-08-31 18:46:29 status unpacked libgssapi-krb5-2:amd64 1.17-3
2020-08-31 18:46:29 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-1+deb10u1
2020-08-31 18:46:29 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-08-31 18:46:29 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-08-31 18:46:29 install libsasl2-2:amd64 <none> 2.1.27+dfsg-1+deb10u1
2020-08-31 18:46:29 status half-installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-08-31 18:46:29 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-08-31 18:46:29 install libldap-common:all <none> 2.4.47+dfsg-3+deb10u2
2020-08-31 18:46:29 status half-installed libldap-common:all 2.4.47+dfsg-3+deb10u2
2020-08-31 18:46:29 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u2
2020-08-31 18:46:29 install libldap-2.4-2:amd64 <none> 2.4.47+dfsg-3+deb10u2
2020-08-31 18:46:29 status half-installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u2
2020-08-31 18:46:29 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u2
2020-08-31 18:46:29 install libnghttp2-14:amd64 <none> 1.36.0-2+deb10u1
2020-08-31 18:46:29 status half-installed libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-08-31 18:46:29 status unpacked libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-08-31 18:46:29 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2
2020-08-31 18:46:29 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-08-31 18:46:29 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-08-31 18:46:29 install libssh2-1:amd64 <none> 1.8.0-2.1
2020-08-31 18:46:29 status half-installed libssh2-1:amd64 1.8.0-2.1
2020-08-31 18:46:29 status unpacked libssh2-1:amd64 1.8.0-2.1
2020-08-31 18:46:29 install libcurl3-gnutls:amd64 <none> 7.64.0-4+deb10u1
2020-08-31 18:46:29 status half-installed libcurl3-gnutls:amd64 7.64.0-4+deb10u1
2020-08-31 18:46:29 status unpacked libcurl3-gnutls:amd64 7.64.0-4+deb10u1
2020-08-31 18:46:29 install libexpat1:amd64 <none> 2.2.6-2+deb10u1
2020-08-31 18:46:29 status half-installed libexpat1:amd64 2.2.6-2+deb10u1
2020-08-31 18:46:29 status unpacked libexpat1:amd64 2.2.6-2+deb10u1
2020-08-31 18:46:30 install liberror-perl:all <none> 0.17027-2
2020-08-31 18:46:30 status half-installed liberror-perl:all 0.17027-2
2020-08-31 18:46:30 status unpacked liberror-perl:all 0.17027-2
2020-08-31 18:46:30 install git-man:all <none> 1:2.20.1-2+deb10u3
2020-08-31 18:46:30 status half-installed git-man:all 1:2.20.1-2+deb10u3
2020-08-31 18:46:30 status unpacked git-man:all 1:2.20.1-2+deb10u3
2020-08-31 18:46:30 install git:amd64 <none> 1:2.20.1-2+deb10u3
2020-08-31 18:46:30 status half-installed git:amd64 1:2.20.1-2+deb10u3
2020-08-31 18:46:31 status unpacked git:amd64 1:2.20.1-2+deb10u3
2020-08-31 18:46:31 install libonig5:amd64 <none> 6.9.1-1
2020-08-31 18:46:31 status half-installed libonig5:amd64 6.9.1-1
2020-08-31 18:46:31 status unpacked libonig5:amd64 6.9.1-1
2020-08-31 18:46:31 install libjq1:amd64 <none> 1.5+dfsg-2+b1
2020-08-31 18:46:31 status half-installed libjq1:amd64 1.5+dfsg-2+b1
2020-08-31 18:46:31 status unpacked libjq1:amd64 1.5+dfsg-2+b1
2020-08-31 18:46:31 install jq:amd64 <none> 1.5+dfsg-2+b1
2020-08-31 18:46:31 status half-installed jq:amd64 1.5+dfsg-2+b1
2020-08-31 18:46:31 status unpacked jq:amd64 1.5+dfsg-2+b1
2020-08-31 18:46:31 install libc-dev-bin:amd64 <none> 2.28-10
2020-08-31 18:46:31 status half-installed libc-dev-bin:amd64 2.28-10
2020-08-31 18:46:31 status unpacked libc-dev-bin:amd64 2.28-10
2020-08-31 18:46:31 install linux-libc-dev:amd64 <none> 4.19.132-1
2020-08-31 18:46:31 status half-installed linux-libc-dev:amd64 4.19.132-1
2020-08-31 18:46:31 status unpacked linux-libc-dev:amd64 4.19.132-1
2020-08-31 18:46:31 install libc6-dev:amd64 <none> 2.28-10
2020-08-31 18:46:31 status half-installed libc6-dev:amd64 2.28-10
2020-08-31 18:46:32 status unpacked libc6-dev:amd64 2.28-10
2020-08-31 18:46:32 install libparted2:amd64 <none> 3.2-25
2020-08-31 18:46:32 status half-installed libparted2:amd64 3.2-25
2020-08-31 18:46:32 status unpacked libparted2:amd64 3.2-25
2020-08-31 18:46:32 install parted:amd64 <none> 3.2-25
2020-08-31 18:46:32 status half-installed parted:amd64 3.2-25
2020-08-31 18:46:32 status unpacked parted:amd64 3.2-25
2020-08-31 18:46:32 install unzip:amd64 <none> 6.0-23+deb10u1
2020-08-31 18:46:32 status half-installed unzip:amd64 6.0-23+deb10u1
2020-08-31 18:46:32 status unpacked unzip:amd64 6.0-23+deb10u1
2020-08-31 18:46:32 startup packages configure
2020-08-31 18:46:32 configure perl-modules-5.28:all 5.28.1-6+deb10u1 <none>
2020-08-31 18:46:32 status unpacked perl-modules-5.28:all 5.28.1-6+deb10u1
2020-08-31 18:46:32 status half-configured perl-modules-5.28:all 5.28.1-6+deb10u1
2020-08-31 18:46:32 status installed perl-modules-5.28:all 5.28.1-6+deb10u1
2020-08-31 18:46:32 configure libexpat1:amd64 2.2.6-2+deb10u1 <none>
2020-08-31 18:46:32 status unpacked libexpat1:amd64 2.2.6-2+deb10u1
2020-08-31 18:46:32 status half-configured libexpat1:amd64 2.2.6-2+deb10u1
2020-08-31 18:46:32 status installed libexpat1:amd64 2.2.6-2+deb10u1
2020-08-31 18:46:32 configure lsb-base:all 10.2019051400 <none>
2020-08-31 18:46:32 status unpacked lsb-base:all 10.2019051400
2020-08-31 18:46:32 status half-configured lsb-base:all 10.2019051400
2020-08-31 18:46:32 status installed lsb-base:all 10.2019051400
2020-08-31 18:46:32 configure libkeyutils1:amd64 1.6-6 <none>
2020-08-31 18:46:32 status unpacked libkeyutils1:amd64 1.6-6
2020-08-31 18:46:32 status half-configured libkeyutils1:amd64 1.6-6
2020-08-31 18:46:32 status installed libkeyutils1:amd64 1.6-6
2020-08-31 18:46:32 configure libpsl5:amd64 0.20.2-2 <none>
2020-08-31 18:46:32 status unpacked libpsl5:amd64 0.20.2-2
2020-08-31 18:46:32 status half-configured libpsl5:amd64 0.20.2-2
2020-08-31 18:46:32 status installed libpsl5:amd64 0.20.2-2
2020-08-31 18:46:32 configure gawk:amd64 1:4.2.1+dfsg-1 <none>
2020-08-31 18:46:32 status unpacked gawk:amd64 1:4.2.1+dfsg-1
2020-08-31 18:46:32 status half-configured gawk:amd64 1:4.2.1+dfsg-1
2020-08-31 18:46:32 status installed gawk:amd64 1:4.2.1+dfsg-1
2020-08-31 18:46:32 configure libssl1.1:amd64 1.1.1d-0+deb10u3 <none>
2020-08-31 18:46:32 status unpacked libssl1.1:amd64 1.1.1d-0+deb10u3
2020-08-31 18:46:32 status half-configured libssl1.1:amd64 1.1.1d-0+deb10u3
2020-08-31 18:46:32 status installed libssl1.1:amd64 1.1.1d-0+deb10u3
2020-08-31 18:46:32 configure unzip:amd64 6.0-23+deb10u1 <none>
2020-08-31 18:46:32 status unpacked unzip:amd64 6.0-23+deb10u1
2020-08-31 18:46:32 status half-configured unzip:amd64 6.0-23+deb10u1
2020-08-31 18:46:32 status installed unzip:amd64 6.0-23+deb10u1
2020-08-31 18:46:32 configure binutils-common:amd64 2.31.1-16 <none>
2020-08-31 18:46:32 status unpacked binutils-common:amd64 2.31.1-16
2020-08-31 18:46:32 status half-configured binutils-common:amd64 2.31.1-16
2020-08-31 18:46:32 status installed binutils-common:amd64 2.31.1-16
2020-08-31 18:46:32 configure libnghttp2-14:amd64 1.36.0-2+deb10u1 <none>
2020-08-31 18:46:32 status unpacked libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-08-31 18:46:33 status half-configured libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-08-31 18:46:33 status installed libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-08-31 18:46:33 configure linux-libc-dev:amd64 4.19.132-1 <none>
2020-08-31 18:46:33 status unpacked linux-libc-dev:amd64 4.19.132-1
2020-08-31 18:46:33 status half-configured linux-libc-dev:amd64 4.19.132-1
2020-08-31 18:46:33 status installed linux-libc-dev:amd64 4.19.132-1
2020-08-31 18:46:33 configure libgomp1:amd64 8.3.0-6 <none>
2020-08-31 18:46:33 status unpacked libgomp1:amd64 8.3.0-6
2020-08-31 18:46:33 status half-configured libgomp1:amd64 8.3.0-6
2020-08-31 18:46:33 status installed libgomp1:amd64 8.3.0-6
2020-08-31 18:46:33 configure libapt-inst2.0:amd64 1.8.2.1 <none>
2020-08-31 18:46:33 status unpacked libapt-inst2.0:amd64 1.8.2.1
2020-08-31 18:46:33 status half-configured libapt-inst2.0:amd64 1.8.2.1
2020-08-31 18:46:33 status installed libapt-inst2.0:amd64 1.8.2.1
2020-08-31 18:46:33 configure libldap-common:all 2.4.47+dfsg-3+deb10u2 <none>
2020-08-31 18:46:33 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u2
2020-08-31 18:46:33 status half-configured libldap-common:all 2.4.47+dfsg-3+deb10u2
2020-08-31 18:46:33 status installed libldap-common:all 2.4.47+dfsg-3+deb10u2
2020-08-31 18:46:33 configure libkrb5support0:amd64 1.17-3 <none>
2020-08-31 18:46:33 status unpacked libkrb5support0:amd64 1.17-3
2020-08-31 18:46:33 status half-configured libkrb5support0:amd64 1.17-3
2020-08-31 18:46:33 status installed libkrb5support0:amd64 1.17-3
2020-08-31 18:46:33 configure libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1 <none>
2020-08-31 18:46:33 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-08-31 18:46:33 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-08-31 18:46:33 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-08-31 18:46:33 configure libasan5:amd64 8.3.0-6 <none>
2020-08-31 18:46:33 status unpacked libasan5:amd64 8.3.0-6
2020-08-31 18:46:33 status half-configured libasan5:amd64 8.3.0-6
2020-08-31 18:46:33 status installed libasan5:amd64 8.3.0-6
2020-08-31 18:46:33 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2 <none>
2020-08-31 18:46:33 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-08-31 18:46:33 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-08-31 18:46:33 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-08-31 18:46:33 configure libncurses6:amd64 6.1+20181013-2+deb10u2 <none>
2020-08-31 18:46:33 status unpacked libncurses6:amd64 6.1+20181013-2+deb10u2
2020-08-31 18:46:33 status half-configured libncurses6:amd64 6.1+20181013-2+deb10u2
2020-08-31 18:46:33 status installed libncurses6:amd64 6.1+20181013-2+deb10u2
2020-08-31 18:46:33 configure libquadmath0:amd64 8.3.0-6 <none>
2020-08-31 18:46:33 status unpacked libquadmath0:amd64 8.3.0-6
2020-08-31 18:46:33 status half-configured libquadmath0:amd64 8.3.0-6
2020-08-31 18:46:33 status installed libquadmath0:amd64 8.3.0-6
2020-08-31 18:46:33 configure libmpc3:amd64 1.1.0-1 <none>
2020-08-31 18:46:33 status unpacked libmpc3:amd64 1.1.0-1
2020-08-31 18:46:33 status half-configured libmpc3:amd64 1.1.0-1
2020-08-31 18:46:33 status installed libmpc3:amd64 1.1.0-1
2020-08-31 18:46:33 configure libatomic1:amd64 8.3.0-6 <none>
2020-08-31 18:46:33 status unpacked libatomic1:amd64 8.3.0-6
2020-08-31 18:46:33 status half-configured libatomic1:amd64 8.3.0-6
2020-08-31 18:46:33 status installed libatomic1:amd64 8.3.0-6
2020-08-31 18:46:33 configure libpcre2-8-0:amd64 10.32-5 <none>
2020-08-31 18:46:33 status unpacked libpcre2-8-0:amd64 10.32-5
2020-08-31 18:46:33 status half-configured libpcre2-8-0:amd64 10.32-5
2020-08-31 18:46:33 status installed libpcre2-8-0:amd64 10.32-5
2020-08-31 18:46:33 configure libk5crypto3:amd64 1.17-3 <none>
2020-08-31 18:46:33 status unpacked libk5crypto3:amd64 1.17-3
2020-08-31 18:46:33 status half-configured libk5crypto3:amd64 1.17-3
2020-08-31 18:46:33 status installed libk5crypto3:amd64 1.17-3
2020-08-31 18:46:33 configure libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1 <none>
2020-08-31 18:46:33 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-08-31 18:46:33 status half-configured libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-08-31 18:46:33 status installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
